Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
391,94.0,34,811.0,,34.0,4.49,20.80,4.0
392,94.0,32,795.0,0.0,34.0,4.53,20.80,4.0
393,93.0,33,790.0,0.0,34.0,4.55,20.80,4.0
394,92.0,34,795.0,0.0,34.0,4.09,20.40,4.0
395,91.0,61,792.0,,34.0,4.69,21.20,4.0
396,91.0,21,1467.0,10.0,33.0,3.12,20.00,4.0
397,90.0,27,1010.0,9.0,34.0,2.79,17.60,4.0
398,89.0,41,778.0,9.0,34.0,4.17,20.40,4.0
399,89.0,32,822.0,9.0,34.0,4.68,21.60,4.0
400,90.0,32,823.0,,34.0,4.12,20.40,4.0
401,90.0,35,818.0,3.0,35.0,4.21,20.40,4.0
402,92.0,33,800.0,0.0,35.0,4.2,20.40,4.0
403,93.0,34,806.0,0.0,35.0,4.23,20.40,4.0
404,93.0,35,802.0,,35.0,4.29,20.80,4.0
405,94.0,35,795.0,0.0,35.0,4.11,20.80,4.0
406,94.0,34,793.0,0.0,35.0,4.21,20.80,4.0
407,94.0,51,792.0,2.0,35.0,4.37,20.80,4.0
408,94.0,34,982.0,,33.0,12.85,31.00,4.0
409,95.0,21,1361.0,21.0,33.0,10.7,29.40,4.0
410,95.0,54,1016.0,24.0,33.0,9.75,28.20,4.0
411,95.0,52,1227.0,,33.0,11.4,29.80,4.0
412,96.0,46,1377.0,27.0,32.0,10.5,29.00,4.0
413,96.0,43,1376.0,28.0,32.0,10.45,29.00,4.0
414,97.0,20,1322.0,,33.0,3.38,20.40,4.0
